 ,Area,Mean,Min,Max,Angle,Length
164,9.105,10233.935,906.417,18876.805,+AC0-90,8.683
165,9.105,9980.028,669.917,17960.834,180,9.024
166,9.933,8403.779,405.441,15262.976,+AC0-101.31,9.723
167,11.589,10040.105,4592.719,14648.407,175.601,11.78
168,9.105,12492.571,2010.281,20687.49,+AC0-90,8.65
169,8.278,9172.782,+AC0-2592.719,19562.5,12.529,7.801
170,9.105,12076.803,4727,18622.965,+AC0-101.31,8.881
171,10.761,11767.171,3084,19235.75,+AC0-4.764,10.923
172,12.416,2378.269,+AC0-4595.717,9360.859,+AC0-86.186,12.853
173,11.589,+AC0-509.647,+AC0-8872.844,8505.288,4.399,11.382
174,6.622,1433.246,+AC0-2117.438,4580.271,+AC0-81.87,6.736
175,6.622,752.403,+AC0-2262.828,3286.756,23.199,6.409
176,11.589,16185.66,1628.938,25369.344,+AC0-75.964,11.598
177,9.105,17569.685,3813.625,25315.387,+AC0-5.711,9.269
178,9.105,14737.046,5183.986,20282.646,+AC0-95.711,9.426
179,8.278,14743.368,6924.75,20059.973,+AC0-6.34,7.99
180,10.761,7520.154,+AC0-5905.125,15012.252,+AC0-90,10.748
181,10.761,8074.575,+AC0-1272,15020.477,+AC0-4.764,11.211
182,9.933,9322.686,4028.865,12559.387,+AC0-90,10.014
183,9.933,5661.5,+AC0-6609.479,14044.174,4.764,10.2
184,12.416,19974.562,9122.083,27584.484,+AC0-77.905,12.937
185,12.416,20163.678,6792.917,26390.375,19.654,12.947
186,11.589,14099.476,4585.062,21647.889,+AC0-85.236,11.387
187,10.761,13464.151,2149.188,23605.973,9.462,10.905
188,11.589,7576.907,+AC0-3497.375,13716.915,+AC0-99.462,11.443
189,14.072,6781.207,+AC0-6584.406,16275.828,+AC0-3.576,14.106
190,11.589,10591.769,+AC0-1510.094,19035.414,+AC0-85.236,11.769
191,11.589,11862.893,560.594,18700.055,12.995,11.806
192,9.105,5939.1,1964.819,11106.188,+AC0-90,8.735
193,9.105,1835.269,+AC0-12262.75,12431.568,0,9.326
194,9.933,6090.494,+AC0-1346,8611.878,+AC0-90,10.258
195,9.933,7302.708,1946.688,10359.421,5.194,10.326
196,8.278,3804.838,+AC0-2741.5,8100.809,+AC0-69.444,7.734
197,9.105,3204.035,+AC0-3039.438,7196.025,18.435,8.889
198,9.105,22178.266,8875.542,31575.053,+AC0-90,9.403
199,9.105,19064.539,4423,32705.119,5.711,8.8
200,11.589,12214.337,+AC0-1962.333,20832.033,+AC0-104.036,11.843
201,9.105,7102.466,+AC0-13615.5,17600.338,+AC0-21.801,9.35
202,10.761,5166.55,+AC0-2828.75,11196.492,+AC0-95.194,10.647
203,8.278,3932.438,+AC0-11589.125,12663.889,+AC0-6.34,8.247
204,9.933,3441.383,+AC0-4891.375,8865.947,+AC0-94.764,10.326
205,9.105,4964.319,+AC0-1233.25,8348.255,+AC0-12.529,9.033
